id,phone
1,+444316890158;+33441999413
2,+61950319558;+61133794074
3,+812831985603;+33347183297;+446854674104
4,+61650135286;+912207151773
5,+33010545792;+915639983771
6,+33440430255;+18457210525
7,+919229384010;+443598354092
8,33718889528
9,4.49621E+11
10,+495755031862;+12987875637;+12428416337
11,33536489895
12,5.59529E+12
13,+61622751150;+61732559721;+446226358992;+33453307123
14,+17925004285;+61982084651;+445555751824;+5540590452332
15,4.93044E+11
16,+911709142768;+911689911903;+816277368066;+33642660136
17,+33060178437;+441688929060
18,+817058257409;+814777053549
19,+5531564559394;+13968301322
20,61891062697
21,+814286031760;+498400898676;+910091372738;+61269520474
22,15773864777
23,+33608058281;+446240511735;+33698131759
24,4.4701E+11
25,+18087578116;+18093112479;+493497348974
26,8.15942E+11
27,+815432439720;+814352231077;+61259664128;+449823153549
28,+810631774808;+19259703887;+918762003463;+910870606472
29,5.57902E+12
30,61110988278
31,+12519259855;+815630290510;+5591776119380;+19583958504
32,+5592157287501;+33497359405;+442731576519
33,5.53187E+12
34,+5567748201627;+440920577724;+815378261545;+818469237390
35,33705459252
36,+17171144363;+33754199771;+914458495677
37,+812139074977;+18684342052;+914441305049
38,+33168759919;+61397749345;+5573870839262;+61625598405;+33513888695
39,+18928316013;+5555669562902;+33768096656
40,+5547379003269;+5539848206551
41,+447949045852;+33572548095
42,+818600620695;+493763617196;+813225919373;+811494327248;+911177357151
43,+33985717303;+61765941161;+61195603879;+916575774987;+811526112136
44,10024813478
45,+914693525012;+5560378698836;+912292187100;+444213232776
46,+33735706132;+492492373495;+911851958730;+814341210310
47,+813475678745;+499550110965;+813077177286;+61054453342;+5596537684939
48,+61310735818;+447805820759
49,4.95837E+11
50,8.15308E+11
51,+446717817540;+447563553938;+912428014658;+494720975040;+12075428699
52,+5507115200993;+444081165774
53,+33851391511;+33636033205;+33243172715;+61237457194
54,+61136863044;+5533923631250
55,+11793155263;+442669857339;+33111100990;+33501125231;+490732878307
56,+5510703835781;+443100578717;+817100540996;+5551489791160
57,+5519272464357;+18986889471
58,+61981819129;+61076145129;+11559643807;+815574789596
59,+448888949701;+13121484557
60,+14135445996;+440268933972;+13966263633
61,+814264083842;+16688478467;+33617440830
62,+443210314544;+499199793290
63,+11724844706;+5582185505713;+818648638101
64,16065381184
65,+915107265004;+61871274400;+812485280832;+61744026168
66,+5549636980950;+18202765339;+16953515110;+33665754260;+5568042473505
67,+17941144664;+33443242504;+918389440945;+496338663432;+819806670203
68,4.4087E+11
69,+5553224675183;+817173411116
70,+493041114488;+448572397167
71,8.1934E+11
72,61963920967
73,61710094918
74,+33881854465;+5559692076625;+497848797026;+495138162929;+61726050287
75,+491685914509;+919966606905
76,33273636583
77,+817130021631;+61278497631;+919760229845;+16984634828;+495566359639
78,+910094422410;+491868317262;+917145417960
79,+33907214864;+33281826994;+5533732931712
80,+5562757080725;+11390214470;+61913114118;+815063787868
81,18430329215
82,+442922637848;+495628554163;+5537177890056;+33396746502
83,+816286835898;+5504777012098;+445237869058;+13654168620;+443358472706
84,33776251267
85,+5502185818246;+918010421207
86,8.11744E+11
87,+5566466402787;+12829849747
88,17786147455
89,+61835237826;+61503564145;+61528724714;+10607546903
90,+33458532107;+61416561345
91,+917108013359;+5548315223775;+33251419660;+61458244977
92,+5521670375577;+817855025353;+16100502387;+10104785333
93,18111816107
94,+441305330276;+494334518323;+445917736480;+910089632199
95,+914644937143;+493926120320;+816135707225;+5565872168096;+913587168370
96,+816891547478;+5501359007783;+811090919980
97,+33357295044;+61960256935;+817899468053;+442781099423
98,61309934243
99,+491918877252;+33161759156;+10092260151
100,+15300533605;+17770539932;+5507783113544;+5596372287465
101,+499482760876;+5501204312280
102,+61064043449;+61528100490;+816879568101;+919546051613
103,+5502765265765;+5557807488470;+33271999449;+33238817590;+491439631774
104,16742934472
105,+61490369702;+5599908053502
106,33414278645
107,+12541628994;+11269290681;+12687486595;+61300599542;+61170358596
108,+5579627863686;+913606537883;+444483771122
109,+913808923270;+61225095507;+916968286361;+33689644467;+493775175807
110,8.10141E+11
111,+5575689492404;+15133303974
112,+33154006639;+5514595342759;+446553451555
113,+61259845917;+61901222370;+814311867975;+61113473317;+913544144034
114,+448486068175;+15726714648;+14588186970
115,15175834097
116,+61800808870;+440802498327
117,+440996463035;+813781127588
118,33468701432
119,+819714181782;+441829337451;+818536070717;+17876798015
120,+33109309904;+33117610691;+33683959534;+911850016177
121,+5598092230135;+19593541346
122,+919452446582;+813070296455;+5516769142514;+490594478475;+33762636041
123,+494053246368;+18279203953;+5547394878337;+916348113897;+494473200215
124,+61465169839;+5543169598356;+818720274218
125,+440938678474;+812705649611;+61413921981;+447865551810;+449877632613
126,+918566558829;+912650466495;+61748407720;+61208700954
127,+440361816415;+17421733679;+33856419170;+912833088108
128,16804370742
129,4.90378E+11
130,+495294281649;+13006939009;+33936512593
131,+33600318911;+19665926902
132,15488016376
133,+442626552222;+5564666367026;+496054824445;+33771709501
134,5.54411E+12
135,4.92918E+11
136,9.18054E+11
137,+919053252263;+819058710589
138,+810998896155;+33953286417;+498276043734;+5551326609157;+33463825868
139,+916655842369;+5575498146392;+492610865923
140,+817748234238;+491784872718;+495139349122;+33188122976;+813622183687
141,+33128224262;+497820439874;+919147152716;+446379853833
142,+910953656734;+811538891612;+33886155860;+914338488265;+819571440152
143,+33192049875;+61187058970
144,+912962314679;+818375140011;+448530771649
145,+916496378369;+61152128715;+910961327731;+498651212658
146,17380329300
147,+10210836833;+810082682876
148,+810381182726;+61305541152;+10479416975;+813906956075
149,+5545799193368;+5528084552290
150,61754740504
151,8.18868E+11
152,+492965030471;+811962554890;+33801286501;+819647792372;+5594031899319
153,+33452669277;+5582341924302;+5599959132230;+61906120780
154,4.47701E+11
155,+814898023546;+497609258865;+14619456227
156,+815192307618;+16984200674;+445102221066;+814595979420
157,19118022446
158,+913870148694;+18607185436;+915840752277;+61889813226;+493465474594
159,4.48708E+11
160,+817635604497;+816886737430;+5524592749583
161,+33397200660;+912677488457;+493683011482;+5548807649299
162,+5574199578686;+491123055457;+61464486988
163,4.40797E+11
164,+18143808842;+917552333016
165,+811037709229;+912578432956;+17839913591
166,+444715410165;+810410120793;+445840553047;+5523689849676
167,+33984098368;+492413989637;+5512839019614;+817312455880
168,+5514644914861;+10530114989;+10050229754;+14357696040;+819923942441
169,16907713524
170,+33932537708;+491883797084;+61828838478;+33109047196;+16459459430
171,+911649861908;+33047963088;+5579360478161
172,+33675443849;+5571173504639;+490206567641;+911971501136;+813810384428
173,+914771700545;+33965982858;+5580622524298;+912627050501;+493234624106
174,4.96148E+11
175,+914382895283;+61234505811;+11294841738;+499875311776
176,9.17503E+11
177,+499184317835;+913417709965
178,33200081115
179,9.10206E+11
180,+497002113453;+919334918422;+490633635507
181,+5504485474547;+911166595708;+495579054447;+5557489005159
182,+911267620858;+499367448559
183,+817579286790;+14429044618;+14003202597
184,+444600655836;+491253022646
185,+33639916278;+445359386443
186,4.49326E+11
187,4.98858E+11
188,8.16153E+11
189,+61220097833;+817014677018;+819273547875;+914479115193;+815082869648
190,+33196297972;+816789048956
191,+915104921678;+493772960530;+442358274018;+810191805210
192,+61796178782;+61671772331
193,+448598402222;+817463063609
194,+497064170421;+497067544527;+442633624399;+913234936399;+445815677513
195,9.14739E+11
196,+811621183215;+33353802237;+61250155670;+33480274614
197,+61037455695;+33304518039
198,+61646116252;+33524451218;+61245759437;+14182418200
199,+912466561093;+918577495983
200,4.96432E+11
201,+815739967644;+33967999991;+14772726704;+917482906786;+13430983596
202,+5526396297213;+491036309570;+33468785223;+449918561333;+911513224979
203,+448238202210;+61393276192
204,+491501965882;+911145126967;+11068761976;+817129553016;+495284033284
205,+61124935326;+15380296706;+33618660556;+811750804857;+494742861308
206,+19252140179;+61600416125
207,+61511580007;+446927143102;+490053762812;+61955304828;+5552775603088
208,+815118617791;+12255573106;+816912590833
209,+14743942805;+15746454996;+447614685210
210,61802818448
211,8.14476E+11
212,+494130837860;+61114486388;+919992502627
213,4.44109E+11
214,+33142263466;+446912896705;+448824825633;+491103036288;+918642292928
215,+444731276834;+5505125310688;+813967367341;+33871114332;+17119461454
216,+33171624885;+33788211468
217,+810425470013;+19252888918;+813164931295;+12317497383;+12856207399
218,+814534789288;+33126080220;+497561840503;+442082886849;+910804198000
219,+811653644689;+443774445519;+810523539041;+19179082147;+813127439269
220,+5554870586464;+14580943494
221,+447472116339;+813526329773;+813776891033;+33621747044
222,+15916063729;+497613472427;+33072488216
223,+61192765178;+33513348903;+61241625954
224,+499661243874;+446924143824;+33501574768
225,33036532377
226,+811897446954;+16551723100;+493368382587;+498413751518;+61317813358
227,+13729451410;+492375022067;+445433049066;+5505426524360
228,+13433733762;+818271337497
229,16173170776
230,+5542564710810;+910841733898;+919382545025
231,+61349880096;+914952025752;+16867107946;+446374576370
232,+441084131536;+61425792423;+17435941784;+5579414389767;+61409285937
233,4.49829E+11
